episode_index,n_frames,grasp_frame_index,grasp_frame_local,grasp_pick_reason,grasp_max_arm_vel_deg_s,grasp_gripper_deg,grasp_static_run_len,grasp_motor_deg,tip_xyz_user_m,cube_xyz_user_m,cube_xyz_urdf_m,cube_pose_urdf_world,cube_z_mode,table_z_expected_user_m,cube_z_err_vs_table_mm,in_workspace,grasp_shoulder_pan_deg,grasp_shoulder_lift_deg,grasp_elbow_flex_deg,grasp_wrist_flex_deg,grasp_wrist_roll_deg,tip_x_user_m,tip_y_user_m,tip_z_user_m,cube_x_user_m,cube_y_user_m,cube_z_user_m
0,339,123,123,static_hold_most_closed,0.0,33.30585479736328,20,"[0.6153846383094788, -10.593406677246094, 3.7362637519836426, 93.5824203491211, 4.0, 33.30585479736328]","[0.0042902091208344845, 0.23100825138040354, 0.11163587088976983]","[0.0042902091208344845, 0.23100825138040354, 0.0225]","[0.23100825138040354, -0.0042902091208344845, 0.0225]","[0.23100825138040354, -0.0042902091208344845, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,0.6153846383094788,-10.593406677246094,3.7362637519836426,93.5824203491211,4.0,0.0042902091208344845,0.23100825138040354,0.11163587088976983,0.0042902091208344845,0.23100825138040354,0.0225
1,347,171,171,static_hold_most_closed,0.0,21.51690101623535,27,"[-15.560439109802246, -14.10988998413086, 18.94505500793457, 77.75823974609375, -2.769230842590332, 21.51690101623535]","[-0.05264517637138803, 0.2329935694367832, 0.08696431663997786]","[-0.05264517637138803, 0.2329935694367832, 0.0225]","[0.2329935694367832, 0.05264517637138803, 0.0225]","[0.2329935694367832, 0.05264517637138803, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,-15.560439109802246,-14.10988998413086,18.94505500793457,77.75823974609375,-2.769230842590332,-0.05264517637138803,0.2329935694367832,0.08696431663997786,-0.05264517637138803,0.2329935694367832,0.0225
2,379,183,183,static_hold_most_closed,7.912101745605469,22.8359432220459,10,"[-11.604395866394043, -10.241758346557617, 8.04395580291748, 81.27472686767578, 6.989010810852051, 22.8359432220459]","[-0.04071972281415665, 0.25124622908677086, 0.10557011538951235]","[-0.04071972281415665, 0.25124622908677086, 0.0225]","[0.25124622908677086, 0.04071972281415665, 0.0225]","[0.25124622908677086, 0.04071972281415665, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,-11.604395866394043,-10.241758346557617,8.04395580291748,81.27472686767578,6.989010810852051,-0.04071972281415665,0.25124622908677086,0.10557011538951235,-0.04071972281415665,0.25124622908677086,0.0225
3,410,155,155,static_hold_most_closed,0.0,1.2366034984588623,10,"[6.94505500793457, -8.131868362426758, 15.252747535705566, 80.30769348144531, 10.505494117736816, 1.2366034984588623]","[0.027391943341731124, 0.2373575870377041, 0.07847231099510373]","[0.027391943341731124, 0.2373575870377041, 0.0225]","[0.2373575870377041, -0.027391943341731124, 0.0225]","[0.2373575870377041, -0.027391943341731124, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,6.94505500793457,-8.131868362426758,15.252747535705566,80.30769348144531,10.505494117736816,0.027391943341731124,0.2373575870377041,0.07847231099510373,0.027391943341731124,0.2373575870377041,0.0225
4,271,27,27,static_hold_most_closed,0.0,1.483924150466919,18,"[-5.538461685180664, -101.67032623291016, 96.92308044433594, 77.05494689941406, 1.9780219793319702, 1.483924150466919]","[-0.009234388718506535, 0.14692510913545034, 0.007505876020397567]","[-0.009234388718506535, 0.14692510913545034, 0.0225]","[0.14692510913545034, 0.009234388718506535, 0.0225]","[0.14692510913545034, 0.009234388718506535, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,-5.538461685180664,-101.67032623291016,96.92308044433594,77.05494689941406,1.9780219793319702,-0.009234388718506535,0.14692510913545034,0.007505876020397567,-0.009234388718506535,0.14692510913545034,0.0225
5,315,40,40,static_hold_most_closed,0.0,1.483924150466919,30,"[-1.0549451112747192, -102.63735961914062, 96.74725341796875, 76.52747344970703, 8.747252464294434, 1.483924150466919]","[0.000138172204373115, 0.15089437087522958, 0.010085757963655559]","[0.000138172204373115, 0.15089437087522958, 0.0225]","[0.15089437087522958, -0.000138172204373115, 0.0225]","[0.15089437087522958, -0.000138172204373115, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,-1.0549451112747192,-102.63735961914062,96.74725341796875,76.52747344970703,8.747252464294434,0.000138172204373115,0.15089437087522958,0.010085757963655559,0.000138172204373115,0.15089437087522958,0.0225
6,376,233,233,static_hold_most_closed,7.912044525146484,34.13025665283203,31,"[-26.549449920654297, 7.604395389556885, 2.3296704292297363, 80.48351287841797, -25.714284896850586, 34.13025665283203]","[-0.10132340535355681, 0.23831738089541898, 0.06326069579183322]","[-0.10132340535355681, 0.23831738089541898, 0.0225]","[0.23831738089541898, 0.10132340535355681, 0.0225]","[0.23831738089541898, 0.10132340535355681, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,-26.549449920654297,7.604395389556885,2.3296704292297363,80.48351287841797,-25.714284896850586,-0.10132340535355681,0.23831738089541898,0.06326069579183322,-0.10132340535355681,0.23831738089541898,0.0225
7,374,82,82,static_hold_most_closed,7.912101745605469,1.483924150466919,10,"[4.5714287757873535, -10.769230842590332, 11.824175834655762, 76.70330047607422, -1.274725317955017, 1.483924150466919]","[0.01925708797426011, 0.2579429972147904, 0.09915018647878854]","[0.01925708797426011, 0.2579429972147904, 0.0225]","[0.2579429972147904, -0.01925708797426011, 0.0225]","[0.2579429972147904, -0.01925708797426011, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,4.5714287757873535,-10.769230842590332,11.824175834655762,76.70330047607422,-1.274725317955017,0.01925708797426011,0.2579429972147904,0.09915018647878854,0.01925708797426011,0.2579429972147904,0.0225
8,357,154,154,static_hold_most_closed,0.0,6.677658557891846,8,"[-7.208791255950928, -8.483516693115234, 1.5384615659713745, 90.5934066772461, 4.527472496032715, 6.677658557891846]","[-0.02331743390236439, 0.2423504035535235, 0.11301333053055164]","[-0.02331743390236439, 0.2423504035535235, 0.0225]","[0.2423504035535235, 0.02331743390236439, 0.0225]","[0.2423504035535235, 0.02331743390236439, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,-7.208791255950928,-8.483516693115234,1.5384615659713745,90.5934066772461,4.527472496032715,-0.02331743390236439,0.2423504035535235,0.11301333053055164,-0.02331743390236439,0.2423504035535235,0.0225
9,329,105,105,static_hold_most_closed,5.274724960327148,15.663643836975098,12,"[1.3186813592910767, -5.934065818786621, 3.2087912559509277, 81.97801971435547, 3.8241758346557617, 15.663643836975098]","[0.007629898246183181, 0.2629016470018261, 0.10568933800292143]","[0.007629898246183181, 0.2629016470018261, 0.0225]","[0.2629016470018261, -0.007629898246183181, 0.0225]","[0.2629016470018261, -0.007629898246183181, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,1.3186813592910767,-5.934065818786621,3.2087912559509277,81.97801971435547,3.8241758346557617,0.007629898246183181,0.2629016470018261,0.10568933800292143,0.007629898246183181,0.2629016470018261,0.0225
10,373,211,211,static_hold_most_closed,5.274696350097656,25.391592025756836,23,"[5.010989189147949, 43.736263275146484, -44.61538314819336, 84.87911987304688, 38.63736343383789, 25.391592025756836]","[0.033262551393507984, 0.33227649341535004, 0.04523779748469285]","[0.033262551393507984, 0.33227649341535004, 0.0225]","[0.33227649341535004, -0.033262551393507984, 0.0225]","[0.33227649341535004, -0.033262551393507984, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,5.010989189147949,43.736263275146484,-44.61538314819336,84.87911987304688,38.63736343383789,0.033262551393507984,0.33227649341535004,0.04523779748469285,0.033262551393507984,0.33227649341535004,0.0225
11,426,255,255,static_hold_most_closed,0.0,13.767518997192383,10,"[-26.72527503967285, 22.989011764526367, -19.560440063476562, 76.52747344970703, 31.69230842590332, 13.767518997192383]","[-0.119539671454434, 0.29087336229237953, 0.06865696373985629]","[-0.119539671454434, 0.29087336229237953, 0.0225]","[0.29087336229237953, 0.119539671454434, 0.0225]","[0.29087336229237953, 0.119539671454434, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,-26.72527503967285,22.989011764526367,-19.560440063476562,76.52747344970703,31.69230842590332,-0.119539671454434,0.29087336229237953,0.06865696373985629,-0.119539671454434,0.29087336229237953,0.0225
12,331,40,40,static_hold_most_closed,7.9122161865234375,1.1541632413864136,31,"[-1.7582417726516724, -101.75823974609375, 96.74725341796875, 76.87911987304688, 1.7142857313156128, 1.1541632413864136]","[-0.0021458288232745724, 0.14826247197033932, 0.008417324829929088]","[-0.0021458288232745724, 0.14826247197033932, 0.0225]","[0.14826247197033932, 0.0021458288232745724, 0.0225]","[0.14826247197033932, 0.0021458288232745724, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,-1.7582417726516724,-101.75823974609375,96.74725341796875,76.87911987304688,1.7142857313156128,-0.0021458288232745724,0.14826247197033932,0.008417324829929088,-0.0021458288232745724,0.14826247197033932,0.0225
13,304,56,56,static_hold_most_closed,0.0,1.483924150466919,46,"[-1.4065934419631958, -101.5824203491211, 96.83516693115234, 76.79120635986328, -4.9670329093933105, 1.483924150466919]","[-0.0023902592413691673, 0.14801212720767873, 0.007992070111589367]","[-0.0023902592413691673, 0.14801212720767873, 0.0225]","[0.14801212720767873, 0.0023902592413691673, 0.0225]","[0.14801212720767873, 0.0023902592413691673, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,-1.4065934419631958,-101.5824203491211,96.83516693115234,76.79120635986328,-4.9670329093933105,-0.0023902592413691673,0.14801212720767873,0.007992070111589367,-0.0023902592413691673,0.14801212720767873,0.0225
14,355,46,46,static_hold_most_closed,7.9122161865234375,1.6488046646118164,36,"[-0.8791208863258362, -103.51648712158203, 96.57142639160156, 76.52747344970703, -10.505494117736816, 1.6488046646118164]","[-0.0021737193330584282, 0.15289884775013282, 0.012002610661846519]","[-0.0021737193330584282, 0.15289884775013282, 0.0225]","[0.15289884775013282, 0.0021737193330584282, 0.0225]","[0.15289884775013282, 0.0021737193330584282, 0.0225, 1.0, 0.0, 0.0, 0.0]",table_plus_half,0.0225,0.0,True,-0.8791208863258362,-103.51648712158203,96.57142639160156,76.52747344970703,-10.505494117736816,-0.0021737193330584282,0.15289884775013282,0.012002610661846519,-0.0021737193330584282,0.15289884775013282,0.0225
