  joints: ['shoulder_pan', 'shoulder_lift', 'elbow_flex', 'wrist_flex', 'wrist_roll', 'gripper']
  step | qpos | qvel
  step  0  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step  1  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step  2  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step  3  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step  4  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step  5  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step  6  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step  7  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step  8  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step  9  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step 10  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step 11  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step 12  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step 13  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step 14  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step 15  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step 16  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step 17  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step 18  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
  step 19  qpos=[+0.03082, -0.00587, -0.04358, +1.58217, -1.59249, +1.01923]  qvel=[+0.00000, +0.00000, +0.00000, +0.00000, +0.00000, +0.00000]  max|qvel|=+0.00000
